[2024-02-23 21:20:56] Printed my pid on the file  21800
[2024-02-23 21:20:56] Recieved the watchdog pid  21799


[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3




[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3


[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3


[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3



[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3



[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3



[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3


[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3


[2024-02-23 21:20:58] Recieved info from Drone!  7
[2024-02-23 21:20:58] Wrote data to window! 3

[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3



[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3

[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3


[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3








[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3


[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3

[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3










[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3







[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3




[2024-02-23 21:20:59] Recieved info from Drone!  7
[2024-02-23 21:20:59] Wrote data to window! 3

[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3

[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3


[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3



[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3


[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3



[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3



[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3

[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3




[2024-02-23 21:21:00] Recieved info from Drone!  7
[2024-02-23 21:21:00] Wrote data to window! 3








